Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04020:Calcium signaling pathway	12	3.45821325648415	0.008402498746986956	SLC8A3, ATP2B1, ADCY1, PLCB4, NOS1, CCKBR, PDE1C, SLC25A5, ATP2A3, ERBB3, CAMK2G, PRKACB	186	179	6910	2.4905388358262748	0.8745374146653289	0.1719687099749797	10.357396105258765
KEGG_PATHWAY	hsa05215:Prostate cancer	8	2.3054755043227666	0.009004314636503138	HSP90AB1, BRAF, CASP9, MAPK3, MTOR, EGF, PIK3R1, INSRR	186	88	6910	3.377321603128055	0.8919427637216139	0.16924846073860744	11.059829200133088
KEGG_PATHWAY	hsa04912:GnRH signaling pathway	8	2.3054755043227666	0.010739800705551888	ADCY1, PLCB4, MAP3K3, CAMK2G, MAPK3, ELK1, PRKACB, SRC	186	91	6910	3.2659813304974596	0.9297911288158975	0.18480609791357727	13.057126976474853
KEGG_PATHWAY	hsa04919:Thyroid hormone signaling pathway	9	2.5936599423631126	0.011159720636354523	PLCB4, CASP9, MAPK3, ATP1A1, PRKACB, MTOR, STAT1, PIK3R1, SRC	186	114	6910	2.9329371816638368	0.936754072858885	0.17896916342665126	13.534134922265206
KEGG_PATHWAY	hsa05213:Endometrial cancer	6	1.729106628242075	0.012239775749746145	BRAF, CASP9, MAPK3, ELK1, EGF, PIK3R1	186	52	6910	4.286600496277916	0.9516632664610256	0.1828812930848277	14.749951137768846
KEGG_PATHWAY	hsa05223:Non-small cell lung cancer	6	1.729106628242075	0.01651845588302199	BRAF, CASP9, MAPK3, EGF, CDK4, PIK3R1	186	56	6910	3.980414746543779	0.9833854437180403	0.22592944654545422	19.41305524739565
KEGG_PATHWAY	hsa03430:Mismatch repair	4	1.1527377521613833	0.02255022027744462	MSH6, RFC4, MSH2, LIG1	186	23	6910	6.460963066853671	0.9963420694412688	0.2811125380023687	25.58781816791278
KEGG_PATHWAY	hsa05210:Colorectal cancer	6	1.729106628242075	0.024633578416621078	MSH6, BRAF, CASP9, MSH2, MAPK3, PIK3R1	186	62	6910	3.595213319458897	0.9978358922950358	0.2888520911971034	27.617016058976386
KEGG_PATHWAY	hsa04921:Oxytocin signaling pathway	10	2.881844380403458	0.025626007673147717	ADCY1, PLCB4, CAMK2G, MAPK3, CACNB1, ELK1, PRKACB, PRKAA2, PIK3R1, SRC	186	158	6910	2.3512998502790254	0.9983153173020679	0.2854588094713302	28.565577662529616
KEGG_PATHWAY	hsa03050:Proteasome	5	1.440922190201729	0.02935244453473104	PSMD14, PSMA6, PSMA4, PSMD1, PSMA7	186	44	6910	4.2216520039100685	0.9993436355946163	0.30680207975026397	32.02583020767166
KEGG_PATHWAY	hsa04540:Gap junction	7	2.0172910662824206	0.030109067212434806	ADCY1, PLCB4, MAPK3, PRKACB, EGF, SRC, TUBB3	186	88	6910	2.955156402737048	0.9994582072127777	0.30101436827355443	32.709232199890536
KEGG_PATHWAY	hsa04720:Long-term potentiation	6	1.729106628242075	0.03125838324185963	ADCY1, PLCB4, BRAF, CAMK2G, MAPK3, PRKACB	186	66	6910	3.377321603128055	0.999595277373033	0.29890013143243455	33.7352031012137
KEGG_PATHWAY	hsa04910:Insulin signaling pathway	9	2.5936599423631126	0.03144621125752764	BRAF, PTPRF, MAPK3, ELK1, PRKACB, PRKAA2, MTOR, SHC3, PIK3R1	186	138	6910	2.4228611500701263	0.9996141299227077	0.28946676664327875	33.90149438014044
KEGG_PATHWAY	hsa05161:Hepatitis B	9	2.5936599423631126	0.040390186435201716	DDX3X, CASP9, MMP9, MAPK3, ELK1, STAT1, CDK4, PIK3R1, SRC	186	145	6910	2.3058954393770854	0.9999606185730783	0.3446542655699816	41.38846689700741
KEGG_PATHWAY	hsa04713:Circadian entrainment	7	2.0172910662824206	0.041512533044674546	ADCY1, PLCB4, NOS1, GNB1, CAMK2G, MAPK3, PRKACB	186	95	6910	2.7374080362195814	0.9999704699715215	0.34111358298489824	42.27056795530609
KEGG_PATHWAY	hsa04261:Adrenergic signaling in cardiomyocytes	9	2.5936599423631126	0.04179326309040496	ATP2B1, ADCY1, PLCB4, CAMK2G, MAPK3, CACNB1, ATP1A1, PRKACB, PIK3R1	186	146	6910	2.2901016349977903	0.9999725230763395	0.3323087322804472	42.48928213860251
KEGG_PATHWAY	hsa05220:Chronic myeloid leukemia	6	1.729106628242075	0.04312089810353604	CTBP1, BRAF, MAPK3, SHC3, CDK4, PIK3R1	186	72	6910	3.095878136200717	0.999980463841957	0.33075268797756674	43.51330913000214
KEGG_PATHWAY	hsa04971:Gastric acid secretion	6	1.729106628242075	0.0453280921196574	ADCY1, PLCB4, CCKBR, CAMK2G, ATP1A1, PRKACB	186	73	6910	3.0534688466637205	0.9999889307235389	0.3347203205928396	45.17858724013693
KEGG_PATHWAY	hsa00480:Glutathione metabolism	5	1.440922190201729	0.04684800967931157	GSTM1, GSTM2, ODC1, GSTM4, PGD	186	51	6910	3.6422095720008434	0.9999925201802282	0.33436273835170327	46.29886056597724
KEGG_PATHWAY	hsa04066:HIF-1 signaling pathway	7	2.0172910662824206	0.04713336140185143	CUL2, TFRC, CAMK2G, MAPK3, MTOR, EGF, PIK3R1	186	98	6910	2.653609831029186	0.9999930513253437	0.32692509392404556	46.506812135893746
KEGG_PATHWAY	hsa04068:FoxO signaling pathway	8	2.3054755043227666	0.06764666149325374	PRMT1, BRAF, CSNK1E, MAPK3, SKP2, PRKAA2, EGF, PIK3R1	186	134	6910	2.217942545337827	0.9999999671291873	0.42640310932349434	59.65173484042834
KEGG_PATHWAY	hsa04150:mTOR signaling pathway	5	1.440922190201729	0.06903113316917639	BRAF, MAPK3, PRKAA2, MTOR, PIK3R1	186	58	6910	3.202632554690397	0.9999999771940173	0.4229824469900847	60.42124434130047
KEGG_PATHWAY	hsa04725:Cholinergic synapse	7	2.0172910662824206	0.07674743771254508	ADCY1, PLCB4, GNB1, CAMK2G, MAPK3, PRKACB, PIK3R1	186	111	6910	2.3428266976654073	0.9999999970566066	0.44858287187596935	64.46766695914847
KEGG_PATHWAY	hsa04726:Serotonergic synapse	7	2.0172910662824206	0.07674743771254508	HTR1A, PLCB4, BRAF, GNB1, MAPK3, SLC18A2, PRKACB	186	111	6910	2.3428266976654073	0.9999999970566066	0.44858287187596935	64.46766695914847
KEGG_PATHWAY	hsa04022:cGMP-PKG signaling pathway	9	2.5936599423631126	0.07682955056412122	SLC8A3, ATP2B1, ADCY1, PLCB4, SLC25A5, ATP2A3, MAPK3, ATP1A1, PIK3R1	186	166	6910	2.0141857753595027	0.9999999971203083	0.43920479159880754	64.5085950034217
KEGG_PATHWAY	hsa04010:MAPK signaling pathway	12	3.45821325648415	0.07997663515133613	BRAF, MAP3K3, ARRB1, NTRK1, MAPK3, NF1, PTPRR, CACNB1, ELK1, PRKACB, STMN1, EGF	186	255	6910	1.7482605945604048	0.9999999987568636	0.443381445426821	66.04482218363567
KEGG_PATHWAY	hsa04970:Salivary secretion	6	1.729106628242075	0.0800799535506923	ATP2B1, ADCY1, PLCB4, NOS1, ATP1A1, PRKACB	186	86	6910	2.5918979744936235	0.9999999987907381	0.4346827559107814	66.0941998800359
KEGG_PATHWAY	hsa04014:Ras signaling pathway	11	3.170028818443804	0.08127606663183927	GNB1, PAK4, MAPK3, NF1, PLA2G6, ELK1, PRKACB, EGF, SHC3, PIK3R1, EXOC2	186	226	6910	1.8082120087544011	0.9999999991219537	0.43084546496133236	66.66103976964186
KEGG_PATHWAY	hsa04914:Progesterone-mediated oocyte maturation	6	1.729106628242075	0.08321470030353023	HSP90AB1, ADCY1, BRAF, MAPK3, PRKACB, PIK3R1	186	87	6910	2.5621060437523173	0.9999999994777966	0.43018664620908	67.56121854457989
KEGG_PATHWAY	hsa04024:cAMP signaling pathway	10	2.881844380403458	0.08369391680528168	ATP2B1, ADCY1, HTR1A, BRAF, CAMK2G, MAPK3, PTCH1, ATP1A1, PRKACB, PIK3R1	186	198	6910	1.876289779515586	0.999999999540823	0.4238128161952155	67.78025147228655
KEGG_PATHWAY	hsa04144:Endocytosis	12	3.45821325648415	0.08521907643256466	GIT1, RET, GBF1, TFRC, RABEP1, KIF5A, ARRB1, ERBB3, NTRK1, EGF, VPS26B, SRC	186	258	6910	1.7279319829957487	0.9999999996952059	0.42177061058477683	68.46829706619813
KEGG_PATHWAY	hsa03013:RNA transport	9	2.5936599423631126	0.08999309164238223	XPO1, RAE1, PRMT5, EIF2S2, EIF4A1, EIF5B, NUP93, TPR, TACC3	186	172	6910	1.9439234808702175	0.9999999999158617	0.4321048812447399	70.53533130470373
KEGG_PATHWAY	hsa05230:Central carbon metabolism in cancer	5	1.440922190201729	0.09163766109310131	RET, NTRK1, MAPK3, MTOR, PIK3R1	186	64	6910	2.902385752688172	0.9999999999460808	0.4304685617970846	71.2179208668687
KEGG_PATHWAY	hsa05211:Renal cell carcinoma	5	1.440922190201729	0.095711752048276	CUL2, BRAF, PAK4, MAPK3, PIK3R1	186	65	6910	2.857733664185277	0.9999999999821559	0.4376136800968683	72.84654170291263
